id,raid,week 01,week 02,week 03,week 04,week 05,week 06,week 07,week 08,week 09,week 10,week 11,week 12
1,Uldir,0/8,3/8,4/8,5/8,6/8,7/8,7/8,7/8,8/8,8/8,8/8,8/8
2,BoD,1/9,3/9,4/9,6/9,6/9,8/9,8/9,9/9,9/9,9/9,9/9,9/9
3,Palace,0/8,3/8,6/8,7/8,7/8,7/8,8/8,8/8,8/8,8/8,8/8,8/8
4,Ny'alotha,1/12,6/12,8/12,10/12,10/12,11/12,11/12,12/12,12/12,12/12,12/12,12/12
5,Nathria,0/10,1/10,4/10,6/10,7/10,9/10,9/10,9/10,10/10,10/10,10/10,10/10
6,Sanctum,3/10,3/10,5/10,6/10,7/10,9/10,9/10,9/10,9/10,10/10,10/10,10/10
7,Sepulcher,1/11,1/11,2/11,3/11,6/11,7/11,7/11,8/11,9/11,9/11,10/11,11/11
8,Vault,1/8,1/8,4/8,5/8,6/8,7/8,7/8,7/8,7/8,8/8,8/8,8/8
9,Aberrus,2/9,4/9,4/9,7/9,8/9,9/9,9/9,9/9,9/9,9/9,9/9,9/9
10,Amirdrassil,2/9,3/9,5/9,7/9,8/9,8/9,9/9,9/9,9/9,9/9,9/9,9/9
11,Nerub-ar,4/8,4/8,4/8,4/8,7/8,7/8,7/8,8/8,8/8,8/8,8/8,8/8
12,Undermine,3/8,3/8,5/8,6/8,7/8,7/8,7/8,7/8,8/8,8/8,8/8,8/8
13,Manaforge,2/8,3/8,5/8,7/8,7/8,7/8,8/8,8/8,8/8,8/8,8/8,8/8
14,VS-DR-MQD,0/9,4/9,4/9,6/9,6/9,8/9,NA,NA,NA,NA,NA,NA
